;ip;network;network_name;country;city;lat;lon;browser;browser_version;os_family;os_version;mobile
0;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 66.0.3359;Windows;7;False
1;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 68.0.3440;Windows;10;False
2;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 68.0.3440;Windows;10;False
3;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 68.0.3440;Windows;10;False
4;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 68.0.3440;Windows;10;False
5;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 67.0.3396;Windows;10;False
6;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 67.0.3396;Windows;10;False
7;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 67.0.3396;Windows;10;False
8;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 67.0.3396;Windows;10;False
9;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 67.0.3396;Windows;10;False
10;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 67.0.3396;Windows;10;False
11;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 67.0.3396;Windows;10;False
12;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 67.0.3396;Windows;10;False
13;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 67.0.3396;Windows;10;False
14;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 67.0.3396;Windows;10;False
15;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 67.0.3396;Windows;10;False
16;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 67.0.3396;Windows;10;False
17;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 67.0.3396;Windows;10;False
18;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 67.0.3396;Windows;10;False
19;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 66.0.3359;Windows;10;False
20;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 66.0.3359;Windows;10;False
21;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 66.0.3359;Windows;10;False
22;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 66.0.3359;Windows;10;False
23;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 66.0.3359;Windows;10;False
24;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 66.0.3359;Windows;10;False
25;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 66.0.3359;Windows;10;False
26;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 66.0.3359;Windows;10;False
27;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 66.0.3359;Windows;10;False
28;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 66.0.3359;Windows;10;False
29;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 66.0.3359;Windows;10;False
30;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 66.0.3359;Windows;10;False
31;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 66.0.3359;Windows;10;False
32;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 66.0.3359;Windows;10;False
33;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 68.0.3440;Windows;7;False
34;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 68.0.3440;Windows;7;False
35;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 67.0.3396;Windows;7;False
36;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 67.0.3396;Windows;7;False
37;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 67.0.3396;Windows;7;False
38;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 67.0.3396;Windows;7;False
39;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 67.0.3396;Windows;7;False
40;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 67.0.3396;Windows;7;False
41;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 67.0.3396;Windows;7;False
42;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 67.0.3396;Windows;7;False
43;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 67.0.3396;Windows;7;False
44;188.234.164.151;188.234.160.0/21;ERTH-TOMSK-PPPOE-3-NET;Russia;Tomsk;56.49771;84.97437;Chrome; 67.0.3396;Windows;7;False
