,ip,country,city,lat,lon,network,network_name,os_family,os_version,browser,browser_version,mobile,device_id,login
828,31.173.243.68,Russia,Novosibirsk,55.0415,82.9346,31.173.242.0/23,MF-SF-AS31205-MOB-PLAN,Android,6.0,Chrome Mobile, 55.0.2883,True,5d6a3ca0-bcb9-4c64-a45f-d71e056dc561,d21e16e4f73eee03a4af84277fa2d2c7450842f6
829,31.173.240.37,Russia,Novosibirsk,55.0415,82.9346,31.173.240.0/23,MF-SF-AS31205-MOB-TOL,Android,6.0,Chrome Mobile, 55.0.2883,True,5d6a3ca0-bcb9-4c64-a45f-d71e056dc561,d21e16e4f73eee03a4af84277fa2d2c7450842f6
830,31.173.243.69,Russia,Novosibirsk,55.0415,82.9346,31.173.242.0/23,MF-SF-AS31205-MOB-PLAN,Android,6.0,Chrome Mobile, 55.0.2883,True,5d6a3ca0-bcb9-4c64-a45f-d71e056dc561,d21e16e4f73eee03a4af84277fa2d2c7450842f6
831,31.173.242.231,Russia,Novosibirsk,55.0415,82.9346,31.173.242.0/23,MF-SF-AS31205-MOB-PLAN,Android,6.0,Chrome Mobile, 55.0.2883,True,7b26a66f-1e5b-4191-b29e-0a75408783a8,d21e16e4f73eee03a4af84277fa2d2c7450842f6
832,31.173.242.1,Russia,Novosibirsk,55.0415,82.9346,31.173.242.0/23,MF-SF-AS31205-MOB-PLAN,Android,6.0,Chrome Mobile, 55.0.2883,True,7b26a66f-1e5b-4191-b29e-0a75408783a8,d21e16e4f73eee03a4af84277fa2d2c7450842f6
833,176.59.133.76,Russia,Novosibirsk,55.0415,82.9346,176.59.128.0/19,TELE2RU-SUBSCRIBER-POOL-NET,Android,6.0,Chrome Mobile, 55.0.2883,True,7b26a66f-1e5b-4191-b29e-0a75408783a8,d21e16e4f73eee03a4af84277fa2d2c7450842f6
834,31.173.242.31,Russia,Novosibirsk,55.0415,82.9346,31.173.242.0/23,MF-SF-AS31205-MOB-PLAN,Android,6.0,Chrome Mobile, 55.0.2883,True,7b26a66f-1e5b-4191-b29e-0a75408783a8,d21e16e4f73eee03a4af84277fa2d2c7450842f6
835,31.173.240.44,Russia,Novosibirsk,55.0415,82.9346,31.173.240.0/23,MF-SF-AS31205-MOB-TOL,Android,6.0,Chrome Mobile, 55.0.2883,True,7b26a66f-1e5b-4191-b29e-0a75408783a8,d21e16e4f73eee03a4af84277fa2d2c7450842f6
836,31.173.243.112,Russia,Novosibirsk,55.0415,82.9346,31.173.242.0/23,MF-SF-AS31205-MOB-PLAN,Android,6.0,Chrome Mobile, 55.0.2883,True,7b26a66f-1e5b-4191-b29e-0a75408783a8,d21e16e4f73eee03a4af84277fa2d2c7450842f6
837,31.173.240.47,Russia,Novosibirsk,55.0415,82.9346,31.173.240.0/23,MF-SF-AS31205-MOB-TOL,Android,6.0,Chrome Mobile, 55.0.2883,True,7b26a66f-1e5b-4191-b29e-0a75408783a8,d21e16e4f73eee03a4af84277fa2d2c7450842f6
838,31.173.242.114,Russia,Novosibirsk,55.0415,82.9346,31.173.242.0/23,MF-SF-AS31205-MOB-PLAN,Android,6.0,Chrome Mobile, 55.0.2883,True,7b26a66f-1e5b-4191-b29e-0a75408783a8,d21e16e4f73eee03a4af84277fa2d2c7450842f6
839,31.173.242.11,Russia,Novosibirsk,55.0415,82.9346,31.173.242.0/23,MF-SF-AS31205-MOB-PLAN,Android,6.0,Chrome Mobile, 55.0.2883,True,7b26a66f-1e5b-4191-b29e-0a75408783a8,d21e16e4f73eee03a4af84277fa2d2c7450842f6
840,31.173.242.8,Russia,Novosibirsk,55.0415,82.9346,31.173.242.0/23,MF-SF-AS31205-MOB-PLAN,Android,6.0,Chrome Mobile, 55.0.2883,True,7b26a66f-1e5b-4191-b29e-0a75408783a8,d21e16e4f73eee03a4af84277fa2d2c7450842f6
841,31.173.240.38,Russia,Novosibirsk,55.0415,82.9346,31.173.240.0/23,MF-SF-AS31205-MOB-TOL,Android,6.0,Chrome Mobile, 55.0.2883,True,7b26a66f-1e5b-4191-b29e-0a75408783a8,d21e16e4f73eee03a4af84277fa2d2c7450842f6
842,31.173.240.170,Russia,Novosibirsk,55.0415,82.9346,31.173.240.0/23,MF-SF-AS31205-MOB-TOL,Android,6.0,Chrome Mobile, 55.0.2883,True,7b26a66f-1e5b-4191-b29e-0a75408783a8,d21e16e4f73eee03a4af84277fa2d2c7450842f6
843,31.173.240.20,Russia,Novosibirsk,55.0415,82.9346,31.173.240.0/23,MF-SF-AS31205-MOB-TOL,Android,6.0,Chrome Mobile, 55.0.2883,True,7b26a66f-1e5b-4191-b29e-0a75408783a8,d21e16e4f73eee03a4af84277fa2d2c7450842f6
844,31.173.242.56,Russia,Novosibirsk,55.0415,82.9346,31.173.242.0/23,MF-SF-AS31205-MOB-PLAN,Android,6.0,Chrome Mobile, 55.0.2883,True,7b26a66f-1e5b-4191-b29e-0a75408783a8,d21e16e4f73eee03a4af84277fa2d2c7450842f6
845,31.173.240.60,Russia,Novosibirsk,55.0415,82.9346,31.173.240.0/23,MF-SF-AS31205-MOB-TOL,Android,6.0,Chrome Mobile, 55.0.2883,True,7b26a66f-1e5b-4191-b29e-0a75408783a8,d21e16e4f73eee03a4af84277fa2d2c7450842f6
846,31.173.240.1,Russia,Novosibirsk,55.0415,82.9346,31.173.240.0/23,MF-SF-AS31205-MOB-TOL,Android,6.0,Chrome Mobile, 55.0.2883,True,7b26a66f-1e5b-4191-b29e-0a75408783a8,d21e16e4f73eee03a4af84277fa2d2c7450842f6
847,31.173.240.157,Russia,Novosibirsk,55.0415,82.9346,31.173.240.0/23,MF-SF-AS31205-MOB-TOL,Android,6.0,Chrome Mobile, 55.0.2883,True,7b26a66f-1e5b-4191-b29e-0a75408783a8,d21e16e4f73eee03a4af84277fa2d2c7450842f6
848,31.173.241.34,Russia,Novosibirsk,55.0415,82.9346,31.173.240.0/23,MF-SF-AS31205-MOB-TOL,Android,6.0,Chrome Mobile, 55.0.2883,True,7b26a66f-1e5b-4191-b29e-0a75408783a8,d21e16e4f73eee03a4af84277fa2d2c7450842f6
849,31.173.242.82,Russia,Novosibirsk,55.0415,82.9346,31.173.242.0/23,MF-SF-AS31205-MOB-PLAN,Android,6.0,Chrome Mobile, 55.0.2883,True,7b26a66f-1e5b-4191-b29e-0a75408783a8,d21e16e4f73eee03a4af84277fa2d2c7450842f6
850,31.173.240.46,Russia,Novosibirsk,55.0415,82.9346,31.173.240.0/23,MF-SF-AS31205-MOB-TOL,Android,6.0,Chrome Mobile, 55.0.2883,True,7b26a66f-1e5b-4191-b29e-0a75408783a8,d21e16e4f73eee03a4af84277fa2d2c7450842f6
