,device_id,logins
0,"{'51bbbc87-5ca7-4ea0-b0fb-0e27e2e5335c', '822da1cc-b32e-4c3b-bd8f-4f4b64592fac'}",{'8ebf0f526eda08bd8b7cf9ec68d6553efe5ec64d'}
1,"{'eb01aaf9-4034-4965-b094-ea8eb18e2ef8', '4c2358ec-57bb-4bfe-9aa0-bdcf7b818fe5', '1dd10a20-bb56-4f26-a25f-28f4d7064fc4', '5d22c6bb-62a5-450a-aaba-605880ec0c71'}","{'ac5fb90107d254f5083a516aa7df528ca54e6926', 'effdf50b780a4ba4b388d5b8eb28dcb7d4870bef', '18edb880bbb57bad594fccc9509d0d0fd524eb78', '2e428b40910157e014cfe2f3c9955bbf222ed138', 'c754fb644b1efd06fb4ea760fb130bc1e616a3a4', '9837b302022a70be9917487ea1c5e2d29599e871', 'a947d6336261ef94e0afa21733268c04c6e703bc'}"
2,{'1b28ec83-1553-4969-8382-80f09a27bf6c'},"{'1a7725e697463fd845c28190bb83bbf5b2be92fa', '0eb4da6e3c1d58550279302df55f7cdef77800d7'}"
3,{'e9ded28b-43b0-415c-80bc-5a332ba1573c'},"{'e0b9aeb1c53e5eda637c9289970fca07930925ee', '24b836388cbbc292e9b5cf1e698f17a9d0f220b6', '786d7dbf9a417e45e30b8c68d4756bbe152972e5', '708be98a9d5fc49e31222fedb86d7ef902bf8593', '798207251252476dbd00a1841860c273dfaadb00', '3cea66e5947660baa735dd7681dcb4cce8a74d97', '96c15599c5cffcced01429cceaebc57c9e52e994', '8b119a4f3a8343c416a2966215a72e2218e34f6f', '1630391057a16614a92f036258eb96729f06e2f0', '598c4a5d940f2647ec70738ce969cc1fba9567e9', '8ec52462f947429a3109ca794eba1fde8863b2ed', '6639a13d8fc20d1c8e856a24bc8b7a92c111bce9', '1184aea39ce405be183c29ee20b2cdffb1463007', '4c58552f2081c42c2fda12147b4a5e22a72339ef', 'ed623729b683d830be599e7f3f0d0e6b0c7b34b3', '23a8aff813fb86af8b5d7069b1fe8dd3321f5644', '706902bfb863187ee280fe18a8e715f0d1af0e85', '3ff94a5ddd528aa07c0226ad106d53a4b4187ae1', '2beeb649182fbc5285fdd26dcf2cd3873a65e807', 'ece328615998e86d4503b1033ba1a818aa8824a0', '2d405724b74c2ffb29b2234afbe696d0ee8499dc', '7ebb21316bdaa3dc20156c54f1d9f32779fec707', 'fc87a6f0f573bf4ccd86614586b9a4078780cfa1', 'c62a201479547d222f23e007987841bb549a4552', 'a84df71282a1ac220722eb157786c09a70285c65', 'c021beb72017d56915ba3ef2a7923bfb58600c19', '3be946887cae0ccf77c370b6fa75fc3b0ee2520c', 'b30cd28228535d66e5d53f25fdc420e81adc4c6f', '7ce867e33b12d5db96663cca1bcc2aea6b422213', '2f48ae8b8e4ac0d0fe9761aec95b9d28f05e53c5', '16edf734b659ffdc8222fd0055f3dd08de84a8c3', 'bef1e2213a8e696542ecc59a79341982ba466024', '828a1e7981a80c9558ca9093967f0a94f5a2ba67', 'c270a223c13c2d819b0fb6238c79099804762f6e', '4f99d7fb2c7ab6e0c79dd7c03606ded7424ba9b0', '70b88cf038d2f65b9b1cc9c9b2b9fbffb986a0dd'}"
4,{'fd888b3e-d301-456b-8957-c5698147e70c'},{'80ed2baa40821b35d01af5baea4596f90831bc59'}
5,"{'d9cbbc8c-9b7c-43b9-ba36-253ae64bb3a9', '1c542ea4-5f9f-4cb4-9372-91fed0237081'}",{'fcc3d4a2e00c297724e7625768c66f630a839b1f'}
6,"{'cb924e3e-0599-46b3-add9-fb478ce4f8f0', 'e949770b-e833-4bf7-be31-d3fd10cf4332', '21779959-ea4b-4e77-8a13-eebca188a66f', '10405c8d-9858-45f3-924f-f8f510949ea7', 'dd7edb95-8612-4985-a965-7a5c87c55423', '048e19c8-fe41-4ff0-91a0-34ab41c234b3', 'b117aa1b-87a5-4e93-89c4-7549b86623da', '992ce342-728b-4689-bbcc-3381d1739763', '8c6ab97a-a87c-41d9-8742-08691eef9188', '74bc6c04-1bd3-4498-9ede-53d06aa6a6cf', '755620c3-41a0-46c5-b525-53b23edee277', '41a0ea1c-b6fe-4b00-9dea-4fbc68a7ceda'}","{'1937a134482d8d9a74d36867074be3c73f905e3f', '5e9ded2d0b510a4f4d5112c768b9ecc9b0f260a0', '4b25d0cb0e62df2ca431ab5f5487c1b13c801ecf', 'efa260adfcac648aa5df57fc33520b5e0a3fb0c3', 'ba3281ec0b172fac85996b4be594a82c42a0fdfd'}"
7,"{'22b0b0b0-2ec4-43ad-b558-714303f47410', 'c7d16a3e-de43-4065-b08e-a10c1dc96a03', 'cf00f3a4-5246-43bc-9679-eea87a79374b', '2801c9a9-8c4a-41e5-9f26-b71a7264258b', 'a35458a5-5493-420c-8532-4002a692d530', '886ee7bb-2c79-4a17-924b-9383fe982e91'}","{'46e36e0ce5abf3e107e4e4a655f92a1af8546576', '3e05b985814c43181d1a6fe21768e9f431476b95', 'a988f1efd80adf0ae2238459da2a03e3fdc17432', 'f0af142eefb81c7286abfd0d6e3f13e3d7019120', '888f8349d3ed57ec75d224dc89ad4f88047d98bc', '95aa8b82338080338e3cde81dacc746b70f2065d', '7e241e25b9c164ee856d272c56c4a479a998b0f4', '17abea6c04c63bacfe02041a8a1c0f18e73ff669', 'd592aeb7ae453b4010ca62a265a7ead7b952fbb0', 'e36dca582dcad675864af322cf9125ff78c57a1a', '1fa2a9995815c61b03b4537d4904a85d87ac31fb', 'fb33222c8c0304b7ab4d8e4d12bf7d25a4e1cd2a', '3ca2bfae5087221d95745c48bc374077ca6e9ea8', '0b684184aed70bb5409bffb4cc37534ccc801bee', '5a6e83c1f0a0f4a48759fab3a933f99ace3510c0', '76765231a69f74dd865ca9ab6fa38d0af47d97b3'}"
8,"{'57756035-f571-4d90-8f34-456a24d217a9', 'c89680fa-3f90-4f87-8c6f-501dc5700ee3', '69f553bb-ee61-4c98-9cc5-1ec8c46d0f59', '055734f1-62ce-452a-a851-f37a8d1f9046'}",{'8ebf0f526eda08bd8b7cf9ec68d6553efe5ec64d'}
9,"{'e10c4cbe-0bf9-42ba-a2b2-2f6e3bb486ba', 'c5c4173e-d0cd-45f7-839c-0077214fde09'}",{'0713be123903edab4d5260c46eaa9ba192d9b404'}
10,{'9605bedf-e809-4166-8bb0-b3665c90a39f'},{'f4aa6fa730b8e81970c83f1cd2024d7104eddfab'}
11,"{'1afcdc6f-6722-4511-813a-e56da504066c', '620d90df-1d7f-429a-a5da-53d95f7a0567', '45044693-dd90-4380-a68b-03f3daa70b40', '573ec2f5-d0fa-42c0-947a-74920c31caea', 'aed2f512-185d-43de-b5a0-aa88383b7420', '91579994-1642-4be7-890c-bab57cefcced', '09c9605c-ed13-4d5b-8d61-1ef374090cf5', '26943dc7-3dd1-442d-a1f2-d3e1ef775578', 'c712d00c-23c7-4559-a3b0-08a295ae581e', '5e861fee-dbd7-4f62-ab8c-5ba761997c5c', 'e5f926cd-b817-4ebb-988f-c8f04ecdd269', '990632bb-d0a2-4182-8146-f9f111f08f9b', '906c2132-a87d-4035-81b6-095985fe6407', 'd39fe10c-dd22-47f2-8089-01704e2dfe41', '00490cc9-6285-4dab-8ac8-73c4da54e60c', '7858bfe8-4bc9-4844-8fe4-a6b9ab082c39', 'd554259d-6869-49d1-8a21-859359abbecf', 'bd6a997a-c219-411b-a853-d92a314394d4', '77cea690-aeb1-44a1-896b-c3f3c00b779b', '6cd55bb5-d185-4644-a17a-24430a3e8a4c'}",{'53dca5ddd5c723e0fdc3ab12463327cd2ff00f3d'}
12,"{'952b2429-146c-4f4b-b303-6d3154e93310', '9f581e50-77d0-4138-96b3-b63e22ccb775', 'a8c86dee-4e9f-42f9-ba8d-39df9a927555', '07d58eaa-ead2-43b5-8c90-680a405cb8fa', '1ec35387-6cb0-4485-97fe-2ca0e3b34b15'}",{'e206d1c16e8845fa0f8a1e66a4a3937cff7e0af9'}
13,"{'3fef384e-0b4a-447d-a2a3-3787b66bbcf3', 'cdaa8ca3-344d-4f0b-ab6c-13f300f5f08d', '7c4a8c10-c96a-4d5c-b3c6-54f924ec9a04'}",{'e34cede14d7469957986c632404885265d595d24'}
14,"{'0c6d0d1f-b2f0-4076-9f5a-984d37424068', '4eb61ee3-dc31-4e77-8705-bb1ef73827cb'}",{'8d8e0a4a043e95861e8c188c5a5bbebe3342a837'}
15,{'a41cabe0-17c2-48c2-b7db-e21015efc9d0'},{'7353b459a3eaa9a0fe5848c3e7a653ff646838ea'}
